state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
AK,1960,226167,110,28,,,,,,,,
AL,1960,4399070,1963,219,,,,,,,,
AR,1960,2401768,849,63,,,,,,,,
AS,1960,0,,,,,,,,,,
AZ,1960,1366305,1073,159,,,,,,,,
CA,1960,16368213,16013,2991,,,,,,,,
CO,1960,1907470,1363,213,,,,,,,,
CT,1960,2684393,4214,635,,,,,,,,
CZ,1960,42122,0,0,,,,,,,,
DC,1960,763956,2540,203,,,,,,,,
DE,1960,461321,462,95,,,,,,,,
FL,1960,6101318,4122,850,,,,,,,,
FS,1960,0,,,,,,,,,,
GA,1960,5334916,2549,222,,,,,,,,
GM,1960,62044,0,0,,,,,,,,
HI,1960,636977,701,114,,,,,,,,
IA,1960,3046521,1475,178,,,,,,,,
ID,1960,797197,376,45,,,,,,,,
IL,1960,14647507,24145,3812,,,,,,,,
IN,1960,4857233,3821,320,,,,,,,,
KS,1960,2429550,1237,211,,,,,,,,
KY,1960,3902623,1613,179,,,,,,,,
LA,1960,3820690,1825,160,,,,,,,,
MA,1960,5436949,9025,564,,,,,,,,
MD,1960,3322495,3446,692,,,,,,,,
ME,1960,1046265,830,90,,,,,,,,
MI,1960,8490942,8630,887,,,,,,,,
MN,1960,3623178,2125,158,,,,,,,,
MO,1960,5212502,4246,939,,,,,,,,
MP,1960,0,,,,,,,,,,
MS,1960,3116331,938,100,,,,,,,,
MT,1960,726457,371,42,,,,,,,,
NB,1960,1508063,845,117,,,,,,,,
NC,1960,5782199,2709,239,,,,,,,,
ND,1960,717457,261,21,,,,,,,,
NH,1960,630932,450,24,,,,,,,,
NJ,1960,6598342,9443,841,,,,,,,,
NM,1960,1164251,732,134,,,,,,,,
NV,1960,313059,319,57,,,,,,,,
NY,1960,17921046,31409,1850,,,,,,,,
OH,1960,10748453,8415,911,,,,,,,,
OK,1960,2886016,1701,170,,,,,,,,
OR,1960,1903251,1299,221,,,,,,,,
OT,1960,0,,,,,,,,,,
PA,1960,12053550,12076,1103,,,,,,,,
PR,1960,0,0,0,,,,,,,,
RI,1960,1075568,1301,104,,,,,,,,
SC,1960,3059426,1285,129,,,,,,,,
SD,1960,854946,307,42,,,,,,,,
TN,1960,4736938,2032,242,,,,,,,,
TX,1960,11581243,7430,1237,,,,,,,,
UT,1960,1152946,560,67,,,,,,,,
VA,1960,4200326,2422,241,,,,,,,,
VI,1960,0,,,,,,,,,,
VT,1960,416336,299,57,,,,,,,,
WA,1960,2982942,2149,260,,,,,,,,
WI,1960,4396806,3981,251,,,,,,,,
WV,1960,2106078,1180,158,,,,,,,,
WY,1960,367165,212,57,,,,,,,,
AK,1961,226167,204,65,,,,,,,,
AL,1961,4012225,2052,257,,,,,,,,
AR,1961,2171870,573,64,,,,,,,,
AS,1961,0,,,,,,,,,,
AZ,1961,1390812,839,95,,,,,,,,
CA,1961,16321400,22292,4613,,,,,,,,
CO,1961,1889199,1614,226,,,,,,,,
CT,1961,2633862,3874,407,,,,,,,,
CZ,1961,42122,0,0,,,,,,,,
DC,1961,763956,2809,201,,,,,,,,
DE,1961,459345,603,116,,,,,,,,
FL,1961,5506836,4851,1171,,,,,,,,
FS,1961,0,,,,,,,,,,
GA,1961,4456527,2281,195,,,,,,,,
GM,1961,62044,,,,,,,,,,
HI,1961,640031,613,108,,,,,,,,
IA,1961,2850543,1400,193,,,,,,,,
ID,1961,748955,531,59,,,,,,,,
IL,1961,10494325,4373,447,,,,,,,,
IN,1961,4702104,3927,351,,,,,,,,
KS,1961,2298146,1601,272,,,,,,,,
KY,1961,3608847,1339,153,,,,,,,,
